date,result,white_elo,black_elo,moves
2018.12.31,0,2436,2240,24
2018.12.31,0,2228,2544,36
2018.12.31,1,2438,2189,42
2018.12.31,0,2485,2547,66
2018.12.31,-1,2289,2484,59
2018.12.31,0,2048,2208,19
2018.12.30,-1,2579,2629,42
2018.12.30,1,2689,2579,51
2018.12.30,1,2427,2378,40
2018.12.30,-1,2499,2588,39
2018.12.30,1,2597,2521,35
2018.12.30,1,2485,2242,32
2018.12.30,-1,2188,2241,42
2018.12.30,1,2332,2259,44
2018.12.30,1,2140,2298,31
2018.12.30,-1,2620,2738,21
2018.12.30,-1,2304,2368,41
2018.12.30,1,2390,2565,59
2018.12.30,0,2482,2663,34
2018.12.30,0,2417,2143,50
2018.12.30,1,2587,2639,45
2018.12.30,-1,2007,2046,38
2018.12.30,1,2719,2482,56
2018.12.30,1,2007,2210,32
2018.12.30,1,2486,2479,51
2018.12.30,-1,2371,2487,45
2018.12.30,-1,2188,2459,57
2018.12.30,1,2196,2358,72
2018.12.30,-1,2242,2386,85
2018.12.30,-1,2410,2555,72
2018.12.30,1,2440,2470,63
2018.12.30,-1,2378,2178,43
2018.12.30,0,2735,2719,31
2018.12.30,0,2670,2719,37
2018.12.30,0,2618,2450,63
2018.12.30,0,2338,2258,41
2018.12.30,-1,2569,2387,70
2018.12.30,-1,2281,2243,40
2018.12.30,1,2344,2095,70
2018.12.30,-1,2516,2546,75
2018.12.30,-1,2444,2479,40
2018.12.30,-1,2347,2095,39
2018.12.30,1,2583,2393,35
2018.12.30,1,2135,2300,10
2018.12.30,1,2124,2245,56
2018.12.30,-1,2592,2220,75
2018.12.30,-1,2606,2683,121
2018.12.30,-1,2501,2630,28
2018.12.30,1,2494,2401,81
2018.12.30,1,2584,2642,77
2018.12.30,1,2303,2281,34
2018.12.30,-1,2190,2281,21
2018.12.30,1,2579,2546,50
2018.12.30,1,2499,2545,73
2018.12.30,-1,2304,2338,33
2018.12.30,0,2689,2533,72
2018.12.30,1,2377,2046,45
2018.12.30,-1,2192,2201,65
2018.12.30,-1,2508,2270,55
2018.12.30,1,2334,2259,32
2018.12.30,1,2344,2270,39
2018.12.30,1,2408,2258,36
2018.12.30,1,2270,2258,28
2018.12.30,0,2444,2453,62
2018.12.30,1,2241,2319,65
2018.12.30,1,2649,2486,36
2018.12.30,-1,2124,2229,47
2018.12.30,0,2657,2688,64
2018.12.30,-1,2719,2746,39
2018.12.30,0,2593,2545,43
